user_name,user_location,user_description,user_verified,date,text,hashtags,source
Peter Doran,Galway,Engineer & Dad ❤ Positivity ❤ Simplicity 💯 Functional Medicine. Run🏃 Question to understand. Health is your own responsibility 🥦 Own opinions 🙏🌞,False,2021-08-18 08:23:17,@CMOIreland Is the incident rate high because anyone who has a sniffle is going to get tested so they can get their vaccine passport &amp; freedom back? Before vaccine passports people would not have bothered. You are not comparing like with like. Its deaths that matter,,Twitter for Android
Matthew Keeling,"Sunderland, England","Music, cycling and League One football forever. Part of @WiseMenSayPod, co-host of @TerracesPodcast with @RoryFallow. Famously Just a Man.",False,2021-08-18 08:22:31,"@willbeck1977 hi, random tweet but I’ve been searching and your tweets are the closest to my issue haha. My wife has a passport in her maiden name and her vaccine passport in her married. We’re going to Malta. Was this an issue for you?",,Twitter for iPhone
KarimNHS,,The fast forward view for all things nhs & digital,False,2021-08-18 08:21:47,@NHSuk Any update as to when vaccinations abroad will be included on the covid pass/nhs app??,,Twitter Web App
drogoberor,Lie there now among the fish..,"outsider, asocial, useless eater. Surfing and smoking. Tarkov Vet. ᡕᠵ᠊ᡃ່࡚ࠢ࠘ ⸝່ࠡࠣ᠊߯᠆ࠣ࠘ᡁࠣ࠘᠊᠊ࠢ࠘𐡏 〓〓 Kernewek. Shadowbanned",False,2021-08-18 08:20:19,"festival-goers having to show their Covid-19 status (double jab, test result or proof of natural immunity) before being allowed to enter the site.
were also required to take a second NHS lateral flow test during the event on Friday and log their results in the NHS Covid Pass. https://t.co/e8lPJyHuTU",,Twitter for iPhone
OldSchoolCoug 🍺 🥩,"Kent, WA","Husband, father, servant to my pets, proud American and most importantly, Cougar for Life.  Also, how about them Boys! 

GO Cougs!🍷 🍸 And Cowboys!",False,2021-08-18 08:17:49,@BalkyHillMama @AlonzoJamison2 Nope. Don't give a 💩 about the vaccine passport.,,Twitter for Android
HUXSTABLE,"South West, England","(he/him Mon-Wed, she/her Thu-Sun)
Christian and patriotic. Writer.  Former Remainer. No allegiance to any particular political party.",False,2021-08-18 08:15:27,@loving_mushroom @JimMFelton hope we only let those with vaccine passport in!,,Twitter for Android
Graham Shaun Cook,,Normal,False,2021-08-18 08:14:35,"@pritipatel @BorisJohnson If they can come here I can go on holiday jab free without any quarantine, tests or Covid passport.",,Twitter for Android
CryptoNeo169,Matrix,🔴,False,2021-08-18 08:12:36,"@BatisCatulo @fergriley @crypto_bitlord7 Here in the EU borders are not closed ""yet"" you just need a vaccine pass or a valid PCR test to travel.",,Twitter for Android
😎 caroline 🌸🏴󠁧󠁢󠁳󠁣󠁴󠁿🇿🇦,Jhb; loch lomond a bit,😎proudly S African; proudly Scottish but disappointed in what’s happening there. opinions & retweets not linked to employer,False,2021-08-18 08:08:03,And here we go.    South Africa wants to introduce a vaccine passport – but there’s a catch https://t.co/8qC8cpEyvX,,Twitter for iPhone
Jon Maillet,"Sarnia, Ont",Opinions are my own.,False,2021-08-18 08:04:56,"Those who are vaccinated and never had covid, are far more likely to spread it, than someone unvaccinated and recovered from COVID. Suggesting those recovered do not need vaccine. In fact recovering from is better than vaccine. 

https://t.co/sUwd7tB5PZ",,Twitter for Android
Jack 🍀🍓🍒🥑🍗🍳🚴‍♂️☀️🇳🇱🎸,Nederland,"Chemical Engineer PhD, real fact based science, real money (Au,Ag),
real food (gardening), real music, cyclocross&MTB",False,2021-08-18 08:04:31,Anti-Pass Sanitaire revolt in France: 75 intellectuals from the Antigone group call for civil disobedience https://t.co/9OUJpn2qrO,,Twitter for Android
Anthony Sim,,Tell the truth to the world #COVID19WORLDHOAX🤬🇬🇧,False,2021-08-18 08:02:29,@pritipatel @BorisJohnson Are you fucking joking are you !!!  No vaccine passport no vaccines and you’re telling me the COVID-19 isn’t a world Hoax🤬🇬🇧  is absolutely ridiculous pathetic. Wtf 🤬,,Twitter for iPhone
Black Media Daily,,Curators of Black Media,False,2021-08-18 08:01:39,South Africa wants to introduce a vaccine passport – but there’s a catch https://t.co/AGOoGjsel8,,WordPress.com
LSE Impact Blog,London,A platform for those interested in increasing the impact of academic research. Managing Editor: @MichaelTaster,False,2021-08-18 08:00:15,"""People are unlikely to oppose schemes if they don’t know what the potential negative outcomes of their use could be""

#VaccinePassports https://t.co/IaiCHicEVc",,Hootsuite Inc.
Ibroxonian72,Scotland and beyond,Cynical Rangers fan,False,2021-08-18 07:57:27,@MatthewG1874 Where do you have to show ID and a vaccine passport to get in ? Also maybe people fleeing the Taliban had different priorities than getting their paperwork in order.,,Twitter for iPhone
Emile Langenhoven,Cape Town,"I'm only 1, but still I'm 1. I can't do everything; but I can do something; and bcoz I can't do everything, I will not refuse to do the something that I can do.",False,2021-08-18 07:57:13,"@Bita33088889 So, prove to me, in the article, where the Premier or the MEC actually said that people will need a vaccine pass to enter nightclubs.",,Twitter Web App
