user_name,user_location,user_description,user_verified,date,text,hashtags,source
Matthew macaree,glasgow,"Scotland! Glasgow! got a boy who is 5 and is my absolute world 😍😍😍😙😙 
SELF EMPLOYED HEALTHCARE ASSISTANT AND SUPPORT WORKER MOVE IT SO MUCH",False,2021-09-10 09:36:10,@AlbzSFC @gingerjoseph200 @Liam_H_11 No im not meaning your the one brainwashed against it i was just replying to that comment about there is no point in explaining any of this because it seems ppl are completly deluded lol i cant get my head around how this vaccine passport is anything other than control,,Twitter for Android
Roger Village 🇨🇩,Currently Paris,"Sky Scraping Gents to Paradise Kings.

Ephesians 6:12

Make Africa great again. Get your knowledge & savagery up☠️✊🏿 😏",False,2021-09-10 09:36:09,"We will eventually get manipulated into that stupidity. Same way we're being manipulated to get vaccine passport for THE MOST DANGEROUS VIRUS IN HISTORY 😂😂😂😂😂😂😭😭😭😭😭

Like i said it's every country dream to be North Korea or China. That full control shit gets them goin",,Twitter for Android
Vicky 👸🏻,"Scotland, United Kingdom",oops!,False,2021-09-10 09:35:59,@mscott7612 @sanshee01 Well forcing a vaccine passport on them isn’t going to encourage them. They are questioning things as it is. Plus these story’s are always ridiculous. Not seen one for a few weeks. Not going to convince them. Issue is. Communications on this has been a load of bollocks.,,Twitter for iPhone
T-Rez,S-Town,still breathing I'm good,False,2021-09-10 09:35:57,@_ivandaniel31 Yeah cdc card worked good all over the place they can't really transfer it to the health pass over here yet without get rapid tests every 72 hours. Keep checking tho even as we've been here it's tightened up.,,Twitter for Android
Tom Ayers,"Sydney, Cape Breton, N.S.","Reporter/editor.                                                                     
Contact: tomayers2262@gmail.com.",False,2021-09-10 09:35:52,Why not using the term 'vaccine passport' could help Nova Scotia in a legal challenge | CBC News https://t.co/kRqKlvADc1,,Twitter for Android
Greg Marston,,,False,2021-09-10 09:35:40,@atouchofsense @GeneralBurk @EssexPR @nadhimzahawi @BorisJohnson @michaelgove @sajidjavid He’s talking about rates per 100k not totals. The fact is vaccinated adults are unjust as likely to be infected as unvaccinated. Therefore the vaccine passport does not serve its declared  purpose of reducing spread. Going on about under 18s is irrelevant.,,Twitter for iPhone
Martin J,Global traveller,"A better, safer World, is my passion. What are yours? Energy, public health, travel, faith, work, NGOs & hiking get me excited. Climate change less exciting.",False,2021-09-10 09:35:38,"@kleppy321 @cringe59 @patrickdurkin Aren’t you pushing the semantics here? Being required to show your government issued vaccine  passport  to enter a restaurant, venue, train or  an airport  wasn’t a mandate?  What is it?",,Twitter for iPhone
mark👀,Norfolk,Considered delightful.,False,2021-09-10 09:34:41,"@FeeStepcoteHill @robertsessford1 It’s a flimsy excuse to introduce vaccine passports. Most won’t object because they’re not bothered about clubbing.
A vaccine passport will be invalid every time a new booster jab is introduced.

What starts with clubs can be expanded to include shops, transport, hospitals etc.",,Twitter for iPad
✨🦋BECKY🦋✨,"Scotland, United Kingdom",,False,2021-09-10 09:34:28,Vaccination or not you can still spread covid!! This covid passport is a joke,,Twitter for iPhone
Blair Mayne Loyal,Ulster,Robert Blair Paddy Mayne DSO - Ulster Hero.    Rangers F.C. The best football club in the world!!. #55,False,2021-09-10 09:34:16,"@AMcKellar89 What happens to those travelling from outside Scotland, who may be double vaccinated but don't have a Scottish covid passport?",,Twitter for Android
kaya,"(19, UK, she/her)",ians gf (real) | siksatoru x,False,2021-09-10 09:34:13,@notsosoftboiph1 u need a vaccine passport ??? omg that’s wild,,Twitter for iPhone
Ross,scotland,,False,2021-09-10 09:33:53,ITS NOT A COVID PASS. ITS A MOVEMENT LICENCE. ITS NOT A VACCINE ITS A GENE THERAPY. THEY TRICK YOU WITH SOFT WORD PLAY. THIS IS DOUBLE SPEAK.,,Twitter for iPhone
Shannon Lynn,Glasgow | Scotland,S'all good baby baby,False,2021-09-10 09:33:53,Heed is bursting with all the vaccine passport crap! So scary this is even allowed to happen 🤯,,Twitter for iPhone
