user_name,user_location,user_description,user_verified,date,text,hashtags,source
Meg,,moody as fuck,False,2021-09-03 11:26:45,"Vaccine passport and many other things which happened during covid (i.e lockdown) , just proves human rights really don’t exist. Whats even the point in the European convention on human rights or the human rights act for Scotland specifically",,Twitter for iPhone
Daniel,,,False,2021-09-03 11:26:05,@StevenDelDuca Vaccine passport goes against the charter of rights and freedoms. We never had this when we were kids …why now ? To reinstate communism rule ?,,Twitter for iPhone
Monica,,🇺🇸 🇦🇺 🇲🇽 open the borders 🌎 | degree-educated | fighting for liberty 🗽| I’m for vaccination 💉but it’s your choice | Open up Australia,False,2021-09-03 11:25:57,@WideAwake1984 I support the jab but don't agree with the vaccine passport. I often don't comply with demands of this &amp; walk out and go to another venue that isn't being so pedantic,,Twitter Web App
Joshua Burgess,,,False,2021-09-03 11:25:21,@SayItAs81048082 @ollysmithtravel There is no such thing as a covid pandemic you will see very soon I’m guessing you’ve been vaccinated twice well get ready for your 3rd dose oh and did you get your covid passport because that stops a pandemic apparently 😂😂😂😂,,Twitter for iPhone
Martin Chainani,London,I have 4 Passions- 1. My Family 2. My Faith 3. My QPR 4. My work with people with spinal injuries,False,2021-09-03 11:24:52,@StarkNakedBrief The  vaccine passport in Cyprus is also given to those who have been infected in the last 6 months,,Twitter for Android
Jason Jurotich,Mexico,"Philosophy and English Professor, Business and Tech Consultant",False,2021-09-03 11:24:30,Which Vaccine Passport App Should I Use? https://t.co/zx8n0RZKhC,,Twitter for iPhone
DM,,,False,2021-09-03 11:24:10,"@StCatStandard @GrantRants Oh and BTW all the businesses associations and the like that were pushing for a vaccine passport I totally understand why you were, it keeps your business open. But who did you think was going to have to enforce this at the business?  Hopefully most people are kind and patient🤗",,Twitter for Android
Robbie Yates,circle/sphere,I have opinions on subjects I don't really care about,False,2021-09-03 11:23:51,"@RicardoDaLepp @Coolermama @EssexPR That doesn't answer the question of symptomatic individuals spreading it

If you are symptomatic then you are contagious

A vaccine passport is not going to solve that

A symptomatic jabbed person is more of a risk than an unjabbed person without any symptoms",,Twitter for Android
LESLIE LUDANYI (Lycanosferathropy),"Dorval, Québec","Welcome! Laughter is good medicine! ADULTS only! Atheist. Gay. Vaccinated. You either like me or you don't. Wear your masks,there is still a pandemic going on!",False,2021-09-03 11:23:45,"Quebec's vaccine passport brings confusion, questions and relief https://t.co/o0JkCFz17W 🤔🤔🤔",,Twitter Web App
Cathy K,"Indiana, USA",,False,2021-09-03 11:23:31,@imikesmusings1 @RobbieProuse And getting the vaccine doesn’t prevent you from getting or spreading Covid so I don’t understand why they’re wanting to make it have a vaccine passport. Vaccinated or unvaccinated you can still get sick! You can still get others sick! It makes zero sense,,Twitter for iPhone
