,0
vaccine passport,120.77404478180955
covid pass,29.251543156153687
covid passport,27.336599246857862
health pass,26.083675919487227
vaccine pass,21.816725883090665
need vaccine,14.331644403291858
passport start,10.502983862221923
require vaccine,10.304299095030425
covid vaccine,9.600353070669087
qr code,8.708170706271668
herd immunity,8.117192867091324
enforce vaccine,7.509336507497854
follow nose,7.40758124534746
nose herd,7.40758124534746
covid health,7.394936293691247
pass sanitaire,7.380403471021104
passport require,7.059125356266838
refuse enforce,6.9511457881325445
business refuse,6.7741942917268485
pass protester,6.610879767508193
shopping mall,6.309078397981604
want vaccine,5.945725922590111
public health,5.875684999373151
passport mandate,5.7990521987579635
mandate vaccine,5.709881129876482
ask vaccine,5.593385207607968
code vaccine,5.465935589993621
passport end,5.402699702287343
think vaccine,5.398286669674282
snap titaniumplug,5.2306404325728835
titaniumplug whatsapp,5.2306404325728835
require covid,5.217914030418509
clear health,5.0398405117190315
passport requirement,4.955169870733891
spread virus,4.825415758455653
fully vaccinate,4.753649638358707
wear mask,4.699898225330197
passport need,4.613119823365335
implement vaccine,4.586965313687282
passport application,4.575167109060784
nhs covid,4.487998398677272
negative test,4.41955044710719
mall require,4.3897705637144435
vaccine vaccine,4.382172551012073
laugh loud,4.352282527863279
passport enter,4.156376275523211
proof vaccination,4.146976590939303
people infect,4.127025332294596
use vaccine,4.080837760065126
like vaccine,3.983523689851528
need covid,3.9640790463877607
voter racist,3.9246839866014023
real threat,3.8956394647896304
death people,3.8956394647896304
possible care,3.8956394647896304
cheap possible,3.8956394647896304
hook vaccine,3.8956394647896304
passport cheap,3.8956394647896304
population death,3.8956394647896304
infect population,3.8956394647896304
population kill,3.8956394647896304
health covid,3.8956394647896304
threat people,3.8956394647896304
want hook,3.8956394647896304
covid real,3.8956394647896304
care public,3.8956394647896304
kill population,3.8956394647896304
nice try,3.847599123918191
vaccinate covid,3.7750707295513912
passport come,3.6997809209192676
amp vaccine,3.62191080252063
quarantine camp,3.6001036983737302
covid quarantine,3.6001036983737302
look like,3.5166227390366838
passport right,3.450486437926146
support vaccine,3.3593820611813188
passport digital,3.3262775364189783
people vaccine,3.2601372776492727
vaccine card,3.257554726480835
vaccinated people,3.2463613676643828
fake vaccine,3.223837034510735
anti vaccine,3.212761076283569
idea vaccine,3.182782346871197
end covid,3.166899415995694
covid test,3.161056271178706
passport vaccine,3.105527878918479
mandatory vaccine,3.0932876434647834
mask vaccine,3.0831672455360084
people vaccinate,3.0315664817351813
nhs application,3.005551732727276
pcr test,2.9992852376917982
social credit,2.8893022948372837
mask mandate,2.888548388700956
passport work,2.8464814849854845
racist vaccine,2.7915306480237128
booster shot,2.7812660250441734
domestic vaccine,2.7142527324467176
mobile application,2.691882053501335
check vaccine,2.691540033993963
pass covid,2.6883738073170864
application health,2.683381524259062
passport wo,2.6568285172756445
passport people,2.6514181457714896
vaccination status,2.6467301393444735
introduce vaccine,2.6024879310411255
vote parliament,2.597039690102427
single vote,2.597039690102427
good vaccine,2.54813460439525
passport covid,2.535136072377683
passport want,2.5130553880127158
passport catch,2.4991238841095766
black people,2.4801920765394065
passport place,2.466725946855148
photo vaccine,2.44888959336957
passport law,2.435239889488438
professional vaccine,2.4351070148876732
appear single,2.430678210523969
passport protest,2.4220951455257906
mandatory health,2.421416579867454
stay home,2.4189697725109274
like covid,2.3712793250583974
driver license,2.3660595347767406
covid vaccination,2.365561926297255
passport negative,2.360876968215135
want covid,2.3392365114113205
passport government,2.3344052267151163
outside gym,2.3093270644847075
vaccine mandate,2.300231631313417
test result,2.2942885058872577
imagine vaccine,2.2795502957967995
covid covid,2.2596204642907507
people need,2.2500295374967836
place vaccine,2.2312816673909603
roll vaccine,2.2170176728337236
vaccination vaccine,2.200384596150675
business owner,2.1823766158155355
good luck,2.1516371447728266
new vaccine,2.137427839268619
racist require,2.1359849003266618
passport travel,2.126605541046791
protest vaccine,2.102559853970136
vaccinate vaccine,2.073868788986898
passport stop,2.06499992079914
ask covid,2.056532232199919
right vaccine,2.0461487200061987
digital vaccine,2.022105461442512
pass feature,2.020174834891678
start vaccine,2.00653170237124
know vaccine,2.0044781282414297
people right,1.9888227157575096
passport allow,1.9534015081468636
require proof,1.946187764837923
passport money,1.9369942553743889
passport rule,1.925252120796166
passport check,1.9229744734735608
people want,1.9175351005756445
vaccine work,1.913298693638123
maybe vaccine,1.906704568463212
accept vaccine,1.901209917720941
hey vaccine,1.895790586792433
passport policy,1.879215007691852
wo able,1.8746437984116715
passport app,1.8654373774567286
passport yellow,1.8649252379540424
passport scheme,1.861914987758315
passport nonsense,1.8272227788767577
yellow book,1.8190462347402794
passport look,1.815258223583554
want introduce,1.8092524466623598
eat vaccine,1.797014265766939
pass vaccination,1.7935698454161195
laugh ass,1.7899170876081307
