,0
need vaccine passport,23.44061119852568
covid vaccine passport,20.013878176462732
vaccine passport source,15.89458922044421
vaccine passport need,11.236088752483617
introduce vaccine passport,10.916352405369286
vaccine passport plan,10.331103736601259
support vaccine passport,9.938465354241377
want vaccine passport,9.757868848474889
implement vaccine passport,9.43207031121674
require vaccine passport,9.073910703340818
province vaccine passport,8.969843159512326
anti vaccine passport,8.771774402675184
vow defy province,8.148326387312657
business vow defy,8.148326387312657
defy province vaccine,7.662276523991682
vaccine passport program,7.465521494654769
vaccine passport agenda,7.3261580964949635
check step introduce,7.321508946011104
step introduce vaccine,7.321508946011104
thank dougy check,7.321508946011104
dougy check step,7.321508946011104
agenda rely lie,7.252912478205074
rely lie social,7.252912478205074
lie social contract,7.252912478205074
consider vaccine passport,7.12627780555707
vaccine passport vaccine,6.975734455072857
orwellian vaccine passport,6.926487690901822
passport agenda rely,6.926487690901822
introduce covid vaccine,6.917949171746812
vaccine passport mandate,6.880477255467438
ontario introduce covid,6.785437166022548
vaccine passport come,6.661599880513554
mandate vaccine passport,6.630724722793332
like vaccine passport,6.4797812247749516
vaccine vaccine passport,6.461197488075937
convenient card vaccination,5.913094703851076
card vaccination status,5.913094703851076
vaccination status consider,5.8587737312464965
status consider vaccine,5.8587737312464965
vaccine passport people,5.713675025854561
vaccine passport end,5.58341136624149
vaccine passport application,5.562143316611538
bring vaccine passport,5.51893166230499
launch convenient card,5.503506266302298
vaccine passport thing,5.4337008392900135
know vaccine passport,5.319873993468754
require proof vaccination,5.154740065006635
vaccine passport work,5.040167442079257
vaccine passport vaccinate,5.019065907889501
ask vaccine passport,4.97522067930342
think vaccine passport,4.8703526122121765
approve ontario introduce,4.767840232262023
vaccine passport require,4.617873389182682
abolish vaccine passport,4.532142929399436
government abolish vaccine,4.532142929399436
vaccine passport want,4.528272710163643
use vaccine passport,4.499156687392072
vaccine passport travel,4.495448084691244
passport vaccine passport,4.4941377814455965
nhs covid pass,4.481225623138169
need covid passport,4.427658304075754
vaccine passport covid,4.397934123975766
stop vaccine passport,4.325588375253333
vaccine passport help,4.283917594154592
protest outside hospital,4.2702623953287375
passport end freedom,4.102616745525576
unveil covid vaccine,4.000908980105831
protest vaccine passport,3.9385520498724804
vaccinate vaccine passport,3.933831810231781
vaccine passport safe,3.8938343245757268
vaccine passport mean,3.8204789110020867
passport qr code,3.772191173443578
vaccine passport vote,3.7497830924851723
vaccine passport wo,3.699602111233479
passport safe model,3.6944188627792265
safe model country,3.6944188627792265
vaccine passport away,3.6840420844327615
vaccine passport think,3.5900077594454287
vaccine passport life,3.5850308621624936
business health pass,3.5531534152343083
government vaccine passport,3.5247732382997063
ontario unveil covid,3.5166216793653904
senior government source,3.4846146483932667
vaccine passport place,3.4666271208055752
vaccine appointment double,3.4591180602611042
vaccine passport like,3.4562621876044033
enforce vaccine passport,3.4438262188710698
vaccine passport use,3.432098242320853
announce new program,3.4114489859484785
come vaccine passport,3.4016510703674894
great reset vaccine,3.3424537793056883
life information store,3.3424537793056883
information store passport,3.3424537793056883
reset vaccine passport,3.3424537793056883
passport away life,3.3424537793056883
store passport naze,3.3424537793056883
remember great reset,3.3424537793056883
away life information,3.3424537793056883
incoming vaccine passport,3.3341070298301867
double jabbed covid,3.268087087977226
code vaccine passport,3.26788044611297
vaccine passport scheme,3.251172208956887
program require proof,3.229608337758963
new program require,3.229608337758963
vaccination wide range,3.229608337758963
wide range activity,3.229608337758963
proof vaccination wide,3.229608337758963
jump announce new,3.229608337758963
vaccine passport way,3.227531871342607
favour vaccine passport,3.2058694285679428
vaccine passport non,3.1901274260300783
vaccine passport ontario,3.188345201502888
vaccine passport allow,3.172103172166343
vaccine passport stop,3.166423288986202
need covid pass,3.1250377461065457
ontario vaccine passport,3.1247087000435267
digital vaccine passport,3.1160408335736474
book day jump,2.9986932663247283
vaccine registration book,2.9986932663247283
day jump announce,2.9986932663247283
registration book day,2.9986932663247283
passport source news,2.980810733825188
time vaccine passport,2.97636958769034
passport non essential,2.9625683246830032
vaccine passport amp,2.9610936665246625
increase vaccination rate,2.9518807826263926
vaccine passport vaccination,2.9482732928470874
appointment double ontario,2.9281443884013774
point vaccine passport,2.904630361360328
amp vaccine passport,2.898699104429638
stance vaccine passport,2.8939052643019143
passport source confirm,2.8866516516265524
launch vaccine passport,2.823645003962449
announce vaccine passport,2.7553107511091173
vaccine passport policy,2.743545803123972
vaccine passport enter,2.723463910179749
new vaccine passport,2.7117844079612166
people want vaccine,2.688829353036384
source ontario introduce,2.6745614199874597
government source ontario,2.6745614199874597
create vaccine passport,2.6625814274135786
non essential place,2.6469065633299045
vaccine passport business,2.6450741039711625
wrong vaccine passport,2.6442846711842343
national vaccine passport,2.6383647239905144
opposition vaccine passport,2.6339363725673244
stage protest outside,2.6329555111507483
passport plan stage,2.6329555111507483
plan stage protest,2.6329555111507483
plan vaccine passport,2.623047959036274
vaccine passport rule,2.6032691620456587
institute vaccine passport,2.5834686970205953
covid passport announcement,2.5755482277669697
ontario covid passport,2.5755482277669697
double ontario covid,2.5755482277669697
vaccine passport know,2.5649726689116545
qr code vaccine,2.5556001821586385
vaccine passport government,2.5442248259468268
vaccine passport right,2.5247570085227986
vaccine passport health,2.5210250521946422
covid health pass,2.5158941110003834
vaccine passport law,2.5028309324554647
passport application use,2.5017842288964998
accept vaccine passport,2.49354311217727
version vaccine passport,2.4815889718746695
big time vaccine,2.4795294215792785
lose big time,2.4795294215792785
quote write reporter,2.474873734152916
write reporter twitterhandle,2.474873734152916
yesterdays rally include,2.474873734152916
include quote write,2.474873734152916
want sure buyout,2.474873734152916
buyout yesterdays rally,2.474873734152916
rally include quote,2.474873734152916
sure buyout yesterdays,2.474873734152916
cybersecurity expert vaccine,2.4359878340656107
expert vaccine passport,2.4359878340656107
vaccination rate vaccine,2.4279491499376706
majority favour vaccine,2.4236704146567205
poll majority favour,2.4236704146567205
impose vaccine passport,2.421810543013584
opponent incoming vaccine,2.415909245579434
end vaccine passport,2.407077215408596
social credit score,2.369877116206701
vaccine passport passport,2.360990974854347
fake vaccine passport,2.353774040052313
passport program sign,2.3537503382931297
program sign petition,2.3537503382931297
vaccine passport issue,2.3430215597958677
oppose vaccine passport,2.335823099480282
right vaccine passport,2.3302168360317626
vaccine passport protect,2.322782479956097
agree vaccine passport,2.3118496268702646
vaccine passport qr,2.2998316507484837
ban vaccine passport,2.2845009748353293
vaccine passport leave,2.2780426697734946
province increase vaccination,2.274123065729003
benefit province increase,2.274123065729003
rate vaccine registration,2.274123065729003
push vaccine passport,2.268130523236027
vaccine passport opponent,2.26773064155363
passport opponent plan,2.26773064155363
plan protest outside,2.26773064155363
opponent plan protest,2.26773064155363
forget vaccine passport,2.2610426318114647
price passport lose,2.241345492337101
passport lose big,2.241345492337101
vaccine passport majority,2.237260873153979
allow vaccine passport,2.223448455955071
vaccine passport access,2.215670488547402
vaccine passport idea,2.2148702665109825
exemption vaccine passport,2.199538021871442
vaccine passport outside,2.1986490129255065
vaccine passport check,2.1799499711130115
vaccine passport let,2.176360532497292
reason vaccine passport,2.1615795964652573
federal vaccine passport,2.150194359828762
jabbed covid event,2.150114929293373
vaccine passport convince,2.1180806309140046
passport convince unvaccinated,2.1180806309140046
announce covid vaccine,2.1176416222730334
